station,year,particle_number,type,lat,lon
DE0007R,2012,2124.629032207384,PSD,53.166667,13.033333
DE0044R,2012,3177.683514144049,PSD,51.53,12.93
DE0055B,2012,3832.1241419105136,PSD,51.3525,12.4346
DE0056R,2012,3407.508986116103,PSD,52.998055,7.9425
DE0060G,2012,0.390544208616945,PSD,-70.666,-8.266
DE0063K,2012,7220.589063873179,PSD,51.06,13.74
DE0064B,2012,5879.60173644337,PSD,51.036111,13.730556
DE0066K,2012,7586.089397405136,PSD,51.345833,12.406389
DE0067K,2012,8282.964934483813,PSD,51.344167,12.377222
DE0068B,2012,4173.618546342826,PSD,51.318056,12.2975
GB0021U,2012,125.61351272397704,PSD,51.521,-0.2135
IT0004R,2012,4333.911864188109,PSD,45.8,8.633333
IT0009R,2012,735.4876807076799,PSD,44.16667,10.68333
KR0100R,2012,34.39883483789853,PSD,36.5383338928,126.330001831
LT0015R,2012,1575.7150172841853,PSD,55.3761111111,21.0305555556
MT0001R,2012,2363.4409479184023,PSD,36.0722,14.2184
NL0011R,2012,5848.053362383416,PSD,51.970278,4.926389
NO0002R,2012,28.826873675894507,PSD,58.38853,8.252
NP0001G,2012,1113.094081894605,PSD,27.9578,86.8149
SE0011R,2012,2111.8443546495523,PSD,56.016667,13.15
SE0012R,2012,1404.917370997725,PSD,58.8,17.8333
BE0007R,2013,1902.242393412001,PSD,50.304003,6.001271
BG0001R,2013,619.5705417801393,PSD,24.166667,23.583333
DE0002R,2013,2513.441010412798,PSD,52.802222,10.759444
DE0003R,2013,1140.5243929375793,PSD,47.914722,7.908611
DE0007R,2013,2153.8087904110125,PSD,53.166667,13.033333
DE0044R,2013,3254.490217893064,PSD,51.53,12.93
DE0055B,2013,3907.007444428432,PSD,51.3525,12.4346
DE0056R,2013,3486.3173148252627,PSD,52.998055,7.9425
DE0061B,2013,5796.182136219946,PSD,50.571667,12.998889
DE0063K,2013,8004.506726307393,PSD,51.06,13.74
DE0064B,2013,5180.972629644798,PSD,51.036111,13.730556
DE0066K,2013,8911.74220429269,PSD,51.345833,12.406389
DE0067K,2013,7350.784804098456,PSD,51.344167,12.377222
DE0068B,2013,4236.679936069397,PSD,51.318056,12.2975
ES0018G,2013,628.9641789171882,PSD,28.309,-16.4994
IT0009R,2013,702.3622863002399,PSD,44.16667,10.68333
KR0100R,2013,44.68986639341797,PSD,36.5383338928,126.330001831
LT0015R,2013,1478.294623222086,PSD,55.3761111111,21.0305555556
MT0001R,2013,57484.11228871814,PSD,36.0722,14.2184
NL0011R,2013,5408.696276005498,PSD,51.970278,4.926389
NO0002R,2013,28.09615823425304,PSD,58.38853,8.252
SE0011R,2013,2075.6375316655112,PSD,56.016667,13.15
